entity,score
ACCELONIC LTD.,64.34625000000122
VELA GAS INVESTMENTS LTD.,50.57657442748053
Dale Capital Group Limited,29.088525974025927
BOB AGENTS LIMITED,21.570499999999946
GNG LTD.,19.402874999999973
INGELSA LTD.,18.07300432900435
MAGN DEVELOPMENT LIMITED,16.023768172747946
KEINES INVESTMENTS LIMITED,15.909000000000002
SITEK GROUP LIMITED,14.940062347188274
3 DIP S.A.,14.180543478260887
DigiWin Systems Group Holding Limited,13.697068474962014
MAINLAND INVESTMENT INC.,13.282500000000022
ALDEBARAN ASSET MANAGEMENT LTD.,13.155000000000022
EARLY BIRD LIMITED,13.107269758064536
LYNX CONSULTANTS INC.,12.979769758064537
CAPOMONDO INTERNATIONAL LTD.,12.97534090909093
AMANZI CORPORATION,12.947749505928876
MEGATRONIC SERVICES S.A.,12.901385869565239
ROCKOVER RESOURCES LIMITED,11.863060714285698
KINKO PORTFOLIO CORPORATION,11.285000000000018
